;val_loss;val_accuracy;loss;accuracy;epoch
0;0.234;0.941;0.653;0.807;1
1;0.159;0.956;0.282;0.932;2
2;0.129;0.963;0.207;0.95;3
3;0.117;0.967;0.172;0.958;4
4;0.107;0.97;0.152;0.963;5
