;val_loss;val_accuracy;loss;accuracy;epoch
0;0.216;0.941;0.617;0.824;1
1;0.15;0.957;0.259;0.936;2
2;0.129;0.963;0.196;0.952;3
3;0.114;0.967;0.165;0.959;4
4;0.106;0.97;0.147;0.963;5
