;val_loss;val_accuracy;loss;accuracy;epoch
0;0.24;0.938;0.644;0.818;1
1;0.161;0.954;0.281;0.931;2
2;0.132;0.963;0.206;0.949;3
3;0.12;0.966;0.171;0.957;4
4;0.109;0.969;0.151;0.962;5
