;val_loss;val_accuracy;loss;accuracy;epoch
0;0.227;0.941;0.634;0.816;1
1;0.154;0.956;0.269;0.935;2
2;0.129;0.964;0.2;0.951;3
3;0.116;0.967;0.169;0.958;4
4;0.11;0.969;0.15;0.963;5
