;val_loss;val_accuracy;loss;accuracy;epoch
0;0.236;0.939;0.648;0.818;1
1;0.155;0.957;0.277;0.934;2
2;0.126;0.964;0.202;0.952;3
3;0.114;0.968;0.167;0.96;4
4;0.107;0.97;0.148;0.964;5
