;val_loss;val_accuracy;loss;accuracy;epoch
0;0.227;0.942;0.62;0.826;1
1;0.16;0.956;0.276;0.934;2
2;0.135;0.962;0.209;0.95;3
3;0.119;0.966;0.175;0.957;4
4;0.11;0.969;0.156;0.962;5
