;val_loss;val_accuracy;loss;accuracy;epoch
0;0.237;0.937;0.674;0.808;1
1;0.159;0.955;0.288;0.93;2
2;0.134;0.961;0.214;0.947;3
3;0.12;0.965;0.179;0.956;4
4;0.112;0.968;0.157;0.961;5
