;val_loss;val_accuracy;loss;accuracy;epoch
0;0.23;0.938;0.639;0.809;1
1;0.163;0.953;0.274;0.932;2
2;0.134;0.961;0.207;0.948;3
3;0.119;0.966;0.172;0.957;4
4;0.11;0.969;0.153;0.961;5
