;val_loss;val_accuracy;loss;accuracy;epoch
0;0.223;0.942;0.627;0.821;1
1;0.155;0.956;0.266;0.936;2
2;0.129;0.963;0.199;0.952;3
3;0.118;0.967;0.168;0.959;4
4;0.109;0.969;0.15;0.963;5
