;val_loss;val_accuracy;loss;accuracy;epoch
0;0.223;0.94;0.641;0.804;1
1;0.153;0.957;0.268;0.933;2
2;0.13;0.963;0.203;0.95;3
3;0.117;0.967;0.17;0.958;4
4;0.109;0.969;0.151;0.962;5
