;val_loss;val_accuracy;loss;accuracy;epoch
0;0.228;0.938;0.62;0.816;1
1;0.154;0.956;0.263;0.935;2
2;0.13;0.963;0.196;0.952;3
3;0.118;0.966;0.165;0.959;4
4;0.108;0.97;0.149;0.963;5
