;val_loss;val_accuracy;loss;accuracy;epoch
0;0.216;0.942;0.629;0.809;1
1;0.15;0.958;0.264;0.935;2
2;0.129;0.964;0.2;0.95;3
3;0.116;0.967;0.17;0.957;4
4;0.109;0.969;0.151;0.962;5
