;val_loss;val_accuracy;loss;accuracy;epoch
0;0.222;0.942;0.646;0.813;1
1;0.154;0.956;0.274;0.933;2
2;0.13;0.963;0.206;0.949;3
3;0.116;0.967;0.172;0.958;4
4;0.109;0.969;0.152;0.962;5
