;val_loss;val_accuracy;loss;accuracy;epoch
0;0.223;0.941;0.626;0.814;1
1;0.153;0.957;0.265;0.935;2
2;0.127;0.964;0.196;0.951;3
3;0.115;0.968;0.166;0.959;4
4;0.108;0.969;0.147;0.963;5
