;val_loss;val_accuracy;loss;accuracy;epoch
0;0.224;0.941;0.626;0.818;1
1;0.152;0.957;0.268;0.935;2
2;0.129;0.963;0.199;0.95;3
3;0.115;0.967;0.167;0.959;4
4;0.107;0.969;0.148;0.963;5
