;val_loss;val_accuracy;loss;accuracy;epoch
0;0.23;0.941;0.619;0.82;1
1;0.156;0.957;0.269;0.937;2
2;0.132;0.963;0.201;0.952;3
3;0.119;0.967;0.17;0.959;4
4;0.111;0.969;0.151;0.963;5
