;val_loss;val_accuracy;loss;accuracy;epoch
0;0.225;0.942;0.633;0.82;1
1;0.157;0.956;0.272;0.934;2
2;0.129;0.964;0.205;0.95;3
3;0.115;0.967;0.17;0.958;4
4;0.105;0.97;0.149;0.963;5
