;val_loss;val_accuracy;loss;accuracy;epoch
0;0.221;0.942;0.638;0.807;1
1;0.151;0.957;0.262;0.937;2
2;0.128;0.964;0.194;0.952;3
3;0.114;0.968;0.162;0.96;4
4;0.108;0.969;0.145;0.964;5
