;val_loss;val_accuracy;loss;accuracy;epoch
0;0.229;0.939;0.614;0.822;1
1;0.157;0.956;0.275;0.933;2
2;0.132;0.962;0.207;0.949;3
3;0.12;0.966;0.174;0.957;4
4;0.113;0.968;0.156;0.961;5
