;val_loss;val_accuracy;loss;accuracy;epoch
0;0.211;0.943;0.615;0.816;1
1;0.152;0.957;0.259;0.936;2
2;0.128;0.963;0.197;0.951;3
3;0.115;0.967;0.166;0.958;4
4;0.106;0.969;0.148;0.963;5
