;val_loss;val_accuracy;loss;accuracy;epoch
0;0.229;0.938;0.634;0.812;1
1;0.158;0.955;0.274;0.932;2
2;0.13;0.962;0.204;0.949;3
3;0.117;0.966;0.169;0.958;4
4;0.108;0.969;0.15;0.963;5
