;val_loss;val_accuracy;loss;accuracy;epoch
0;0.225;0.938;0.623;0.82;1
1;0.155;0.956;0.269;0.933;2
2;0.13;0.963;0.202;0.95;3
3;0.117;0.967;0.168;0.958;4
4;0.107;0.97;0.149;0.963;5
