;val_loss;val_accuracy;loss;accuracy;epoch
0;0.252;0.935;0.67;0.805;1
1;0.163;0.955;0.294;0.93;2
2;0.133;0.962;0.211;0.95;3
3;0.117;0.967;0.172;0.958;4
4;0.11;0.969;0.151;0.963;5
