;val_loss;val_accuracy;loss;accuracy;epoch
0;0.225;0.944;0.662;0.797;1
1;0.154;0.957;0.277;0.934;2
2;0.129;0.964;0.207;0.95;3
3;0.118;0.967;0.172;0.958;4
4;0.108;0.97;0.153;0.963;5
