;val_loss;val_accuracy;loss;accuracy;epoch
0;0.229;0.939;0.648;0.804;1
1;0.157;0.955;0.278;0.932;2
2;0.132;0.962;0.206;0.949;3
3;0.117;0.967;0.171;0.958;4
4;0.108;0.969;0.152;0.962;5
