;val_loss;val_accuracy;loss;accuracy;epoch
0;0.236;0.941;0.643;0.821;1
1;0.157;0.957;0.279;0.933;2
2;0.134;0.962;0.208;0.95;3
3;0.119;0.966;0.174;0.958;4
4;0.111;0.969;0.154;0.962;5
