;val_loss;val_accuracy;loss;accuracy;epoch
0;0.219;0.941;0.609;0.817;1
1;0.154;0.956;0.262;0.934;2
2;0.132;0.962;0.2;0.95;3
3;0.118;0.966;0.169;0.958;4
4;0.109;0.969;0.148;0.963;5
