;val_loss;val_accuracy;loss;accuracy;epoch
0;0.211;0.942;0.603;0.818;1
1;0.15;0.957;0.253;0.936;2
2;0.131;0.962;0.193;0.951;3
3;0.115;0.967;0.165;0.958;4
4;0.109;0.969;0.148;0.962;5
