;val_loss;val_accuracy;loss;accuracy;epoch
0;0.232;0.941;0.643;0.813;1
1;0.16;0.954;0.277;0.933;2
2;0.132;0.963;0.206;0.95;3
3;0.119;0.966;0.172;0.958;4
4;0.109;0.969;0.151;0.962;5
