Model;F1 Score;Precision Score;Accuracy Score;Prediction Time
CNN;0.9739769454194324;0.9741960941382442;0.9739466666666666;0.9739466666666666;9.350573062896729
Naive Bayes;0.7287549865029688;0.7678897466359074;0.72746;0.72746;8.51794958114624
